id,nickname
2919,esther_2
15423,mariaibaneztrullen
6575,pericoperez
2299,
15432,jordi_de_gracia
7169,prithika
15452,francesc_rincon_sola
15465,suns
14891,paurebull
15475,jordi_g
14959,carles90ar
827,marga
9652,quintin_gonzalez
15520,alex_castillo
15521,tm
15508,margarideta
15499,user15499
1638,marga_arregui
15532,rosin
6879,javier_alberti
15540,marinalarre
15539,avilalta
15576,josep1
15594,carles_2_3
31399,unio_d_eixos_comerci
15603,ferran_p
15605,jordir
15618,guerauxc
15629,oscar_sanchez
15621,javiersarda
15649,nacho_cano
15648,martapo
13405,dsoriano
15653,loirooo
15651,sarah
1008,Lramisa
15681,corvinos
11663,consellsectorialcult
15689,lluis_sureda
15692,rubika
11364,nag
15695,ampa_vedruna_immacul
11137,SCEA
15712,albertrc
15718,urbet
15696,marta_pinent
12564,merce_arago_vidal
15800,laura_rodriguez_2
15816,aav
15752,pablomartin
6340,enric_roig_marti
15846,la_mari_morena
15866,alexros
15867,elvira_2
15661,roig_marti_enric
15910,vallcarca
15762,assemblea_bcomu_la_v
14146,javier_2
15955,jordi_2_3_4_5
9911,elena_lopez_estebane
13078,anonim_2_3_4_5_6_143
15978,malnom
12038,elsoldaluz
16010,carme_ali_bei_2
16024,edurnea
16022,ivan_2_3
16060,alcaux
16049,maria_mestres
16064,user16064
7572,x_v
3699,emi_guerrero
16012,rafafede
16089,joan_diaz
16096,antonia_de_sants
16138,ojosdegoma
16200,danioooi
10474,mdlrosa
15090,ainaconte
16197,olivarius
16195,aqg
8138,melanie
16247,molers
16252,magusa
16250,arnaugp
16062,olgac
16241,javier_leal_rey
31296,plataforma_afectats
16263,javier_alarcon
16267,decidimbcn
15446,gaetano987
16270,eduard_2_3
16283,mmonton
16286,quim_tubert
31424,associacio_de_malalt
16364,pereriera
7482,Suguru
16370,antoni_jane_galbete
16322,gyppi
16381,astrid
16398,paubcn
31408,udols_associacio_pel
2663,jcim
16493,marta75
16527,luz
16538,rafel_gisbert
14733,anonim_2_3_4_5_6_165
16601,javier_vallejo
11969,aurelio_lopez_munoz
15300,oriolrp
16664,ismakik1
4561,paco
16683,user16683
16679,orricoalina
9259,suport_decidim_salut
16738,daniel_terradas
15652,emmag
16753,laurahf
16765,mula_masoveria_urb_2
7474,avalverde
16778,riumors
16791,hinarejos_anhimo_2
16796,mae
16800,marcos_2
12303,xavier_barreras_meri
16564,jordi_del_p9
16793,aabadm92
31432,alianca_contra_la_po
567,carlosp_c_86
16924,pilar_llado
5129,
14577,angels_garcia_serneg
9148,rosasi
16951,anna_perez_borrell
318,xavier_colomer
16976,noesal
16625,ag
31433,ampa_escola_rius_i_2
17016,eurasia
17061,carlos_domenech_rive
14830,josepvicente
17073,rosa_ramos
17094,annie
17115,electric
